sub_num,case_nm,s_j_close,s_j_mid,s_j_far,s_j_high
12,EP,-1.8501,-2.3526,-2.0226,-1.9447
12,EP,-1.6238,-1.4229,-3.0594,-1.9057
12,EP,-1.9205,-1.4107,-2.4473,-2.3079
12,EP,-1.751,-1.4632,-2.5246,-1.8477
12,EP,-1.5297,-1.4529,-3.0515,-1.7017
12,EP,-1.5523,-1.3986,-2.6692,-2.1392
12,EP,-1.5034,-1.431,-2.5085,-1.821
12,EP,-1.6271,-1.3985,-2.1679,-2.281
12,EP,-1.5976,-1.5536,-2.2275,-1.6536
12,TS,-1.4532,-2.2179,-2.6702,-1.8234
12,TS,-1.5887,-1.8148,-1.9651,-1.7637
12,TS,-1.7442,-1.7394,-1.9615,-1.6238
12,TS,-1.6014,-1.7502,-2.0662,-1.7509
12,TS,-1.5976,-1.6934,-1.6761,-2.4674
12,TS,-1.8486,-1.678,-1.7845,-1.6737
12,TS,-1.4903,-1.7027,-1.9103,-1.6913
12,TS,-1.7651,-1.9402,-1.5927,-1.7008
12,TS,-1.6383,-1.6721,-1.6489,-2.581
12,TS,-2.0085,-1.7301,-1.6104,-1.7857
12,JS,-1.6569,-1.415,-1.4777,-2.0927
12,JS,-1.7409,-1.4292,-1.6134,-1.7814
12,JS,-1.8258,-1.5549,-1.6105,-1.6077
12,JS,-1.9599,-1.491,-1.7719,-1.3981
12,JS,-1.6794,-1.423,-1.7651,-1.4935
12,JS,-1.8961,-1.4235,-1.6974,-1.5905
12,JS,-1.8566,-1.9462,-1.4318,-1.7459
12,JS,-1.5289,-1.4419,-1.4524,-1.5388
12,JS,-1.8903,-1.4425,-1.5145,-1.6494
12,JS,-1.9275,-1.5854,-1.4732,-1.6814
13,AB,-1.4796,-1.4742,-1.51,-1.5147
13,AB,-1.6627,-1.546,-1.5277,-1.4686
13,AB,-1.583,-1.5617,-1.483,-1.5079
