sub_num,case_nm,s_h_close,s_h_mid,s_h_far,s_h_high
12,AB,-1.3932,-1.6371,-1.6347,-1.5072
12,EP,-2.2306,-1.4971,-2.9362,-1.575
12,EP,-1.7893,-3.9005,-1.9521,-1.611
12,EP,-1.954,-1.696,-4.0968,-1.8726
12,EP,-1.6496,-1.4844,-2.846,-1.7517
12,EP,-1.4256,-1.5162,-3.4617,-1.5467
12,EP,-1.9933,-1.5304,-4.1283,-1.658
12,EP,-1.5801,-1.4291,-1.8885,-1.74
12,EP,-1.9132,-1.437,-3.1841,-1.8084
12,EP,-1.9841,-1.4996,-2.1649,-2.2258
12,EP,-1.5159,-1.5155,-2.6688,-1.615
12,TS,-1.4463,-2.3028,-4.3502,-1.7667
12,TS,-1.8072,-1.6117,-3.2473,-1.6827
12,TS,-1.7951,-3.0574,-2.1014,-1.5781
12,TS,-1.8358,-1.8629,-2.7285,-1.9446
12,TS,-1.7313,-1.6723,-2.5225,-2.3454
12,TS,-1.8191,-1.7513,-1.9619,-1.6636
12,TS,-1.6905,-1.6368,-2.2228,-1.7898
12,TS,-1.824,-1.8124,-2.326,-1.6183
12,TS,-1.8333,-1.5416,-1.9891,-4.35
12,TS,-1.6795,-1.6467,-2.0431,-1.9278
12,JS,-1.7626,-1.772,-1.654,-2.4101
12,JS,-1.8362,-1.5405,-1.6108,-1.5638
12,JS,-1.7421,-2.0705,-1.6144,-1.403
12,JS,-1.9014,-1.7517,-1.8405,-1.4467
12,JS,-1.6912,-1.5363,-2.136,-1.7376
12,JS,-1.8426,-1.5177,-1.6645,-1.6199
12,JS,-1.6636,-1.5004,-1.5827,-1.4539
12,JS,-1.5519,-1.7186,-1.7981,-1.5005
12,JS,-1.8718,-1.4891,-1.6326,-2.4343
12,JS,-1.8708,-1.5984,-1.9892,-1.403
13,AB,-1.4577,-1.4217,-1.5335,-1.4994
13,AB,-1.7345,-1.5892,-1.4119,-1.4547
13,AB,-1.7781,-1.4015,-1.5003,-1.4863
