sub_num,case_nm,target,h_diff
9,TS,Mid,53.3598
9,TS,Mid,42.86867
9,TS,Mid,44.78436
9,TS,Mid,58.80722
9,TS,Mid,65.55094
9,JS,Mid,48.61473
9,JS,Mid,45.44094
9,JS,Mid,35.54153
9,JS,Mid,55.09216
9,JS,Mid,48.23559
9,JS,Mid,47.36263
9,JS,Mid,45.57179
9,JS,Mid,51.79662
9,JS,Mid,53.51952
9,JS,Mid,70.5274
10,EP,Mid,81.1837
10,EP,Mid,86.7626
10,EP,Mid,28.9185
10,EP,Mid,37.7687
10,EP,Mid,15.8111
10,EP,Mid,23.9891
10,EP,Mid,16.9666
10,EP,Mid,24.5639
10,EP,Mid,35.308
10,EP,Mid,31.8632
10,TS,Mid,67.4067
10,TS,Mid,83.3094
10,TS,Mid,12.5525
10,TS,Mid,11.0553
10,TS,Mid,26.2377
10,TS,Mid,34.3358
10,TS,Mid,76.1399
10,TS,Mid,41.4116
10,TS,Mid,29.5633
10,TS,Mid,11.309
10,JS,Mid,32.8808
10,JS,Mid,7.84397
10,JS,Mid,48.2961
10,JS,Mid,47.8309
10,JS,Mid,35.8267
10,JS,Mid,92.4519
10,JS,Mid,65.3094
10,JS,Mid,70.2052
10,JS,Mid,20.3663
10,JS,Mid,72.9132
11,EP,Mid,70.08274
11,EP,Mid,83.04519
11,EP,Mid,83.95844
11,EP,Mid,175.0742
11,EP,Mid,72.78092
11,EP,Mid,29.79066
11,EP,Mid,111.6214
11,EP,Mid,43.12194
11,EP,Mid,57.79811
11,EP,Mid,25.86972
11,TS,Mid,45.95452
11,TS,Mid,33.52633
11,TS,Mid,33.86798
11,TS,Mid,41.11976
11,TS,Mid,33.76453
11,TS,Mid,29.56859
11,TS,Mid,29.641
11,TS,Mid,30.8862
11,TS,Mid,24.85143
11,TS,Mid,90.91753
11,JS,Mid,37.67339
11,JS,Mid,41.05727
11,JS,Mid,50.36649
11,JS,Mid,52.26082
11,JS,Mid,34.38276
11,JS,Mid,28.47202
11,JS,Mid,27.16478
11,JS,Mid,32.02059
11,JS,Mid,34.62762
11,JS,Mid,42.96967
12,EP,Mid,11.17799
12,EP,Mid,100.6246
12,EP,Mid,17.96552
12,EP,Mid,12.33809
12,EP,Mid,6.331461
12,EP,Mid,11.12286
12,EP,Mid,8.891214
12,EP,Mid,20.67749
12,EP,Mid,12.04649
12,EP,Mid,9.922585
12,TS,Mid,49.13594
12,TS,Mid,37.74018
12,TS,Mid,33.32534
12,TS,Mid,28.44391
12,TS,Mid,37.1088
12,TS,Mid,44.22312
12,TS,Mid,21.38882
12,TS,Mid,44.99782
12,TS,Mid,17.87068
12,TS,Mid,28.12715
12,JS,Mid,20.0492
12,JS,Mid,20.114
12,JS,Mid,29.77065
12,JS,Mid,22.72681
12,JS,Mid,19.10355
12,JS,Mid,33.24674
12,JS,Mid,30.30641
12,JS,Mid,41.66711
12,JS,Mid,24.28961
12,JS,Mid,25.55431
13,EP,Mid,24.11393
13,EP,Mid,18.03174
13,EP,Mid,9.607831
13,EP,Mid,16.11246
13,EP,Mid,25.57633
13,EP,Mid,7.442894
13,EP,Mid,14.63111
13,EP,Mid,16.04145
13,EP,Mid,9.786909
13,EP,Mid,18.20919
13,TS,Mid,37.25798
13,TS,Mid,51.30142
13,TS,Mid,53.99698
13,TS,Mid,38.27364
13,TS,Mid,236.3436
13,TS,Mid,47.90237
13,TS,Mid,36.07464
13,TS,Mid,37.25023
13,TS,Mid,29.14644
13,TS,Mid,28.40466
13,JS,Mid,51.05411
13,JS,Mid,18.09952
13,JS,Mid,198.1654
13,JS,Mid,24.85106
13,JS,Mid,16.01536
13,JS,Mid,17.08433
13,JS,Mid,14.79978
13,JS,Mid,17.05363
13,JS,Mid,10.67356
13,JS,Mid,21.01642
14,EP,Mid,13.4629
14,EP,Mid,30.9933
14,EP,Mid,21.6646
14,EP,Mid,16.0369
14,EP,Mid,9.41779
14,EP,Mid,22.5838
14,EP,Mid,30.8973
14,EP,Mid,35.1067
14,EP,Mid,23.5849
14,EP,Mid,37.7244
14,TS,Mid,18.9301
14,TS,Mid,20.2944
14,TS,Mid,50.525
14,TS,Mid,19.2728
14,TS,Mid,48.8231
14,TS,Mid,25.7946
14,TS,Mid,23.4506
14,TS,Mid,30.2343
14,TS,Mid,19.6896
14,TS,Mid,24.2496
14,JS,Mid,88.7438
14,JS,Mid,9.46698
14,JS,Mid,6.38958
14,JS,Mid,6.9101
14,JS,Mid,11.6091
14,JS,Mid,18.4262
14,JS,Mid,14.6394
14,JS,Mid,19.5959
14,JS,Mid,1.5546
14,JS,Mid,8.65675
15,EP,Mid,89.3668
15,EP,Mid,32.9524
15,EP,Mid,30.6963
15,EP,Mid,41.4708
15,EP,Mid,54.8936
15,EP,Mid,46.7214
15,EP,Mid,47.4123
15,EP,Mid,59.6584
15,EP,Mid,63.3182
15,EP,Mid,44.6106
15,TS,Mid,30.4475
15,TS,Mid,47.071
15,TS,Mid,33.3712
15,TS,Mid,44.1409
15,TS,Mid,56.1671
15,TS,Mid,45.0864
15,TS,Mid,36.8209
15,TS,Mid,43.7841
15,TS,Mid,46.671
15,TS,Mid,48.8172
15,JS,Mid,44.8135
15,JS,Mid,38.3046
15,JS,Mid,38.0085
15,JS,Mid,42.3916
15,JS,Mid,70.7261
15,JS,Mid,45.2959
15,JS,Mid,40.4662
15,JS,Mid,57.7472
15,JS,Mid,42.7902
15,JS,Mid,33.1324
1,EP,Far,86.20014
1,EP,Far,88.0733
1,EP,Far,77.68183
1,EP,Far,64.29007
1,EP,Far,34.67938
1,EP,Far,75.37573
1,EP,Far,86.28192
1,EP,Far,41.93361
1,EP,Far,78.08977
1,EP,Far,55.50748
1,TS,Far,86.841
1,TS,Far,85.61636
1,TS,Far,55.50664
1,TS,Far,52.54695
1,TS,Far,53.44396
1,TS,Far,39.36062
1,TS,Far,62.57181
1,TS,Far,49.54953
1,TS,Far,158.1465
1,TS,Far,65.97979
1,JS,Far,79.13272
1,JS,Far,78.98867
1,JS,Far,83.84309
1,JS,Far,211.8128
1,JS,Far,218.5081
1,JS,Far,65.89327
1,JS,Far,471.3104
1,JS,Far,58.60659
1,JS,Far,121.0513
1,JS,Far,133.9588
2,EP,Far,78.12741
2,EP,Far,271.1868
2,EP,Far,60.21987
2,EP,Far,141.6908
2,EP,Far,75.11355
2,EP,Far,47.98826
2,EP,Far,141.965
2,EP,Far,42.73304
2,EP,Far,29.39788
2,EP,Far,31.94951
2,TS,Far,17.17974
2,TS,Far,15.10739
2,TS,Far,35.89199
2,TS,Far,12.60038
2,TS,Far,13.33922
2,TS,Far,9.484408
2,TS,Far,41.35111
2,TS,Far,17.34237
2,TS,Far,13.96802
2,TS,Far,14.39874
2,JS,Far,40.14923
2,JS,Far,124.8602
2,JS,Far,32.72584
2,JS,Far,29.75899
2,JS,Far,52.00938
2,JS,Far,31.27979
2,JS,Far,36.41505
2,JS,Far,50.56518
2,JS,Far,24.38037
2,JS,Far,33.93219
3,EP,Far,141.2254
3,EP,Far,69.26985
3,EP,Far,54.88914
3,EP,Far,111.0034
3,EP,Far,60.60104
3,EP,Far,50.70953
3,EP,Far,160.3477
3,EP,Far,63.49695
3,EP,Far,51.12637
3,EP,Far,27.99936
3,TS,Far,102.8995
3,TS,Far,65.16639
3,TS,Far,45.34993
3,TS,Far,59.90983
3,TS,Far,88.23114
3,TS,Far,52.65706
3,TS,Far,36.44351
3,TS,Far,31.15655
3,TS,Far,35.43868
3,TS,Far,39.21594
3,JS,Far,51.88877
3,JS,Far,40.21435
3,JS,Far,45.76934
3,JS,Far,25.41396
3,JS,Far,39.38999
3,JS,Far,56.60812
3,JS,Far,48.22465
3,JS,Far,65.75824
3,JS,Far,51.98971
3,JS,Far,41.70129
4,EP,Far,37.72751
4,EP,Far,43.30994
4,EP,Far,35.94577
4,EP,Far,105.2612
4,EP,Far,45.43849
4,EP,Far,185.9438
4,EP,Far,90.47384
4,EP,Far,108.2374
4,EP,Far,74.35365
4,EP,Far,66.6573
4,TS,Far,203.8793
4,TS,Far,174.4528
4,TS,Far,134.215
4,TS,Far,245.1164
4,TS,Far,89.23622
4,TS,Far,102.97
4,TS,Far,150.4334
4,TS,Far,76.20606
4,TS,Far,78.10211
4,TS,Far,72.328
4,JS,Far,61.76619
4,JS,Far,37.22361
4,JS,Far,27.7035
4,JS,Far,67.05522
4,JS,Far,19.09402
4,JS,Far,31.78824
4,JS,Far,35.64622
4,JS,Far,122.9673
4,JS,Far,61.61314
4,JS,Far,36.05962
5,EP,Far,56.8273
5,EP,Far,74.2107
5,EP,Far,82.34
5,EP,Far,80.2139
5,EP,Far,34.7744
5,EP,Far,45.1407
5,EP,Far,63.947
5,EP,Far,77.5389
5,EP,Far,52.6912
5,EP,Far,39.4757
5,TS,Far,47.0028
5,TS,Far,24.3892
5,TS,Far,31.344
5,TS,Far,27.1433
5,TS,Far,25.334
5,TS,Far,47.6732
5,TS,Far,30.5283
5,TS,Far,32.7007
5,TS,Far,22.9595
5,TS,Far,21.0566
