sub_num,case_nm,target,iteration,time
2,AB,Mid,2,2.1333
2,TS,Mid,6,2.1333
2,AB,High,29,2.1222
2,JS,Mid,22,2.1222
2,JS,Far,29,2.1222
2,AB,Mid,20,2.1111
2,AB,High,9,2.1111
2,AB,High,22,2.1111
2,AB,Close,1,2.1
2,AB,High,17,2.1
2,AB,High,24,2.0889
2,JS,Mid,28,2.0889
2,AB,Mid,1,2.0778
2,TS,Mid,21,2.0778
2,TS,High,8,2.0667
2,TS,High,13,2.0667
2,TS,High,20,2.0667
2,AB,Mid,15,2.0556
2,AB,High,26,2.0556
2,TS,High,14,2.0444
2,AB,Close,24,2.0333
2,AB,Mid,9,2.0333
2,TS,Mid,1,2.0333
2,AB,Mid,10,2.0222
2,AB,High,30,2.0222
2,AB,Close,23,2.0111
2,AB,High,10,2.0111
2,AB,Close,17,1.9778
2,TS,Mid,3,1.9778
2,AB,Close,11,1.9667
2,AB,Close,13,1.9667
2,AB,Far,11,1.9667
2,TS,High,17,1.9667
2,AB,Close,22,1.9556
2,AB,High,25,1.9444
2,AB,Close,15,1.9333
2,AB,Mid,5,1.9333
2,AB,Mid,14,1.9333
2,AB,Mid,30,1.9333
2,TS,Mid,5,1.9333
2,AB,High,19,1.9222
2,AB,Close,9,1.9111
2,AB,Close,14,1.9111
2,AB,Mid,6,1.9111
2,AB,Close,28,1.9
2,AB,Mid,21,1.9
2,AB,Close,10,1.8889
2,AB,Close,26,1.8889
2,AB,Mid,26,1.8889
2,AB,Mid,24,1.8778
2,AB,Mid,25,1.8778
2,TS,Mid,16,1.8778
2,TS,Mid,24,1.8778
2,AB,Close,16,1.8667
2,AB,Mid,7,1.8556
2,AB,Mid,17,1.8556
2,AB,Mid,28,1.8556
2,AB,Close,20,1.8444
2,AB,Close,30,1.8444
2,AB,Mid,8,1.8444
2,TS,High,21,1.8333
2,AB,Close,6,1.8222
2,AB,Mid,11,1.8222
2,AB,Mid,19,1.8222
2,TS,Mid,11,1.8222
2,AB,Mid,13,1.8111
