sub_num,case_nm,h_diff_close,h_diff_mid,h_diff_far,h_diff_high
14,TS,86.71711,24.2496,30.2956,39.4557
14,JS,21.46921,88.7438,6.90176,6.52609
14,JS,32.35643,9.46698,4.34411,13.1461
14,JS,4.329537,6.38958,53.7886,3.36839
14,JS,11.2062,6.9101,23.748,11.6668
14,JS,12.91334,11.6091,11.5677,23.8005
14,JS,5.935819,18.4262,29.2042,8.85782
14,JS,9.10842,14.6394,18.1182,8.31308
14,JS,76.21026,19.5959,9.34832,7.98573
14,JS,17.45951,1.5546,6.66385,4.79927
14,JS,11.52935,8.65675,6.34423,25.7261
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,AB,0,0,0,0
15,EP,41.5495,89.3668,49.6158,73.5453
15,EP,35.91119,32.9524,51.6591,48.3209
15,EP,56.72342,30.6963,36.0793,41.1173
15,EP,57.00721,41.4708,36.2188,55.4521
15,EP,74.16693,54.8936,66.5664,37.3819
15,EP,48.33796,46.7214,55.8244,70.0165
15,EP,52.30708,47.4123,65.6251,62.4186
15,EP,58.29157,59.6584,65.0914,47.9245
15,EP,49.95616,63.3182,73.3458,51.1547
15,EP,46.24754,44.6106,82.7356,62.5649
15,TS,62.60068,30.4475,48.5905,30.1442
15,TS,25.50969,47.071,53.4614,42.5735
15,TS,59.30231,33.3712,57.8062,35.3014
15,TS,31.14974,44.1409,41.6709,45.5744
15,TS,41.16691,56.1671,42.7046,26.74
15,TS,40.13298,45.0864,38.9315,41.1418
15,TS,36.12292,36.8209,35.8263,50.8997
15,TS,30.36593,43.7841,50.427,34.8357
15,TS,34.05375,46.671,37.1629,33.2131
15,TS,30.45811,48.8172,43.7053,42.4632
15,JS,62.9314,44.8135,44.1602,56.8057
15,JS,40.13619,38.3046,52.0427,59.0334
15,JS,39.42646,38.0085,44.4577,57.103
15,JS,146.3334,42.3916,53.5947,50.3871
15,JS,43.25128,70.7261,45.9293,28.8054
15,JS,50.846,45.2959,33.1005,40.4426
15,JS,46.73595,40.4662,33.4531,57.0654
15,JS,39.61168,57.7472,44.8211,50.77
15,JS,55.93555,42.7902,35.7681,47.0546
15,JS,29.22667,33.1324,38.2381,62.582
