sub_num,case_nm,time_close,time_mid,time_far,time_high
12,JS,1.3222,2.8889,2.2444,2.5111
12,JS,1.2778,2.3111,2.4222,2.5333
12,JS,1.1889,2.1222,2.5889,2.5333
12,JS,1.1444,1.9111,2.2222,3.0667
12,JS,1.3333,1.6556,2.1222,2.2889
13,AB,1.9222,1.8333,2.33333,2.4667
13,AB,1.8111,1.9556,2.44444,2.2667
13,AB,1.7,1.7889,2.25556,2.2333
13,AB,1.6222,1.9,2.23333,2.0667
13,AB,1.8,6.7667,2.15556,1.9
13,AB,1.6556,1.7444,2.02223,2.1778
13,AB,1.7667,1.7222,1.97778,2.1556
13,AB,1.6667,1.8667,2.38889,2.0222
13,AB,1.5667,1.8667,2.21111,2.3111
13,AB,1.5889,1.9556,2.71111,2.0556
13,EP,3.3555,2.5667,3.05555,3.4889
13,EP,2.2889,2.9889,3.08888,3.0889
13,EP,2.0111,2.0778,3.72221,2.7444
13,EP,2.0222,2.4667,3.53333,2.9444
13,EP,2.0444,2.1111,3.94443,4.5778
13,EP,1.9333,1.7778,3.4111,3.2
13,EP,1.7778,2.1556,3.02222,3.0889
13,EP,1.9667,2.1222,3.52221,3.3
13,EP,2.1333,2.0333,2.7,2.9889
13,EP,1.6444,2.0444,2.7,3.4667
13,TS,2.7111,2.6111,4.36666,9.2889
13,TS,3.6778,3.0333,3.98888,3.3111
13,TS,4.0555,2.5111,5.23334,3.5333
13,TS,3.0778,5.1222,3.57777,3.5778
13,TS,2.5333,5.5333,3.49999,3.7333
13,TS,2.7333,2.4111,3.94443,4.8111
13,TS,2.7556,2.5778,2.87777,3.1111
13,TS,1.9,2.7444,2.94444,3.0444
13,TS,3.8667,2.7667,3.88888,3.2222
13,TS,3.1444,2.1222,4.03332,2.1778
13,JS,1.8556,2.4667,13.0001,3.3555
13,JS,4.4667,2.2778,2.5,3.1778
13,JS,5.4222,6.5556,2.33333,2.8
13,JS,4.2778,2.2556,1.92223,2.4
13,JS,1.7667,1.7,2.11111,2.5333
13,JS,3.9222,1.9,1.91111,3.2222
13,JS,1.9,1.8222,1.91111,3.4555
13,JS,1.9111,1.9111,2.85555,3.1555
13,JS,3.4444,1.8556,2.35556,3.2222
13,JS,1.7667,2.1222,2.46667,3.2555
14,AB,1.3,1.37778,2.0556,1.9
14,AB,1.2889,1.27778,1.9,1.7778
14,AB,1.3889,1.45556,2.5778,1.7556
14,AB,1.3889,2.18889,1.8333,1.7444
14,AB,1.3111,1.52222,1.9444,2.5889
14,AB,1.3111,1.3,1.8,1.6667
14,AB,1.3556,1.42223,1.8556,1.8889
14,AB,1.4111,1.26667,2.3222,1.7889
14,AB,1.2333,4.63333,1.8,1.8444
14,AB,1.3333,1.31111,1.8111,1.6444
14,EP,1.8444,1.8,3.0556,2.0889
14,EP,5.6889,1.81112,3.0111,1.9778
14,EP,1.9889,1.7,2.5778,2.1889
14,EP,3.2222,1.71111,2.6889,1.9556
14,EP,2.5778,1.96667,3.3222,2.5778
14,EP,3.5778,2.3,3.1667,2.1333
14,EP,2.9444,2.48889,2.4889,2.3111
14,EP,1.6222,2,3.9222,3.6111
14,EP,3.3889,2.15556,3.2555,2.7667
14,EP,4.2444,2.48889,5.1111,3.7444
14,TS,2.4778,1.68889,2.8778,2.6111
14,TS,1.7222,1.85556,3.0333,3.4
14,TS,2,3.4111,2.6222,5.5
14,TS,3.9778,1.75556,2.3556,7.8778
14,TS,2.9111,2.73333,3.2111,3.8111
14,TS,1.7111,1.87778,3.1,2.2444
14,TS,2.5444,1.87778,2.7889,2.3889
14,TS,1.9111,1.81112,2.9222,4.1555
14,TS,2.5333,1.56667,2.7111,1.8778
14,TS,3.1,1.7,2.9222,3.2667
14,JS,2.2111,15.2224,1.7667,1.6444
14,JS,1.4333,1.48889,1.8111,2.0333
14,JS,1.3778,1.45556,3.1555,1.7222
14,JS,1.5778,1.47778,2.2667,1.7778
14,JS,1.3222,1.48889,2.1889,1.5778
14,JS,1.3556,1.54445,2.4444,1.8
14,JS,1.3111,1.51111,2.3889,1.5
14,JS,3.0556,1.6,2.2889,1.6333
14,JS,1.6444,1.53334,2.0333,1.4333
14,JS,1.5222,1.68889,1.9111,1.9
15,AB,1.26667,1.5111,2.1889,1.5
15,AB,1.65556,1.4667,2.2333,2.9556
15,AB,1.43334,1.4444,1.9444,1.5444
15,AB,1.44445,1.5778,1.6889,1.6778
15,AB,1.62223,1.4444,1.8333,2
15,AB,1.53334,1.3667,1.9,1.7111
