sub_num,case_nm,target,s_j
6,TS,Mid,-1.7371
6,TS,Mid,-1.5523
6,TS,Mid,-1.6336
6,TS,Mid,-1.6889
6,TS,Mid,-1.6374
6,TS,Mid,-2.1002
6,TS,Mid,-1.6514
6,TS,Mid,-1.7617
6,TS,Mid,-1.7714
6,TS,Mid,-1.9397
6,JS,Mid,-1.8013
6,JS,Mid,-1.6421
6,JS,Mid,-1.5428
6,JS,Mid,-1.5573
6,JS,Mid,-2.204
6,JS,Mid,-1.5295
6,JS,Mid,-1.4587
6,JS,Mid,-1.9061
6,JS,Mid,-1.4603
6,JS,Mid,-1.4661
7,AB,Mid,-1.653
7,AB,Mid,-1.6218
7,AB,Mid,-2.1269
7,AB,Mid,-1.533
7,AB,Mid,-1.814
7,AB,Mid,-1.9147
7,AB,Mid,-1.6758
7,AB,Mid,-1.5831
7,AB,Mid,-1.7246
7,AB,Mid,-1.635
7,EP,Mid,-2.211
7,EP,Mid,-2.3979
7,EP,Mid,-2.0756
7,EP,Mid,-1.6704
7,EP,Mid,-2.2747
7,EP,Mid,-1.7239
7,EP,Mid,-1.6813
7,EP,Mid,-1.5786
7,EP,Mid,-1.6448
7,EP,Mid,-2.0828
7,TS,Mid,-1.9484
7,TS,Mid,-1.6894
7,TS,Mid,-1.8801
7,TS,Mid,-1.5743
7,TS,Mid,-1.8289
7,TS,Mid,-1.6351
7,TS,Mid,-2.74
7,TS,Mid,-1.8904
7,TS,Mid,-1.8927
7,TS,Mid,-1.5398
7,JS,Mid,-1.8758
7,JS,Mid,-1.5277
7,JS,Mid,-1.5076
7,JS,Mid,-1.9241
7,JS,Mid,-1.5673
7,JS,Mid,-2.2241
7,JS,Mid,-1.6979
7,JS,Mid,-1.6719
7,JS,Mid,-1.7248
7,JS,Mid,-1.7162
8,AB,Mid,-1.6071
8,AB,Mid,-1.9833
8,AB,Mid,-1.8408
8,AB,Mid,-1.765
8,AB,Mid,-1.7942
8,AB,Mid,-1.6046
8,AB,Mid,-1.777
8,AB,Mid,-1.7606
8,AB,Mid,-1.7271
8,AB,Mid,-1.7772
8,EP,Mid,-1.9128
8,EP,Mid,-1.6901
8,EP,Mid,-1.6896
8,EP,Mid,-1.5243
8,EP,Mid,-1.6776
8,EP,Mid,-1.6296
8,EP,Mid,-1.5643
8,EP,Mid,-2.2703
8,EP,Mid,-1.9091
8,EP,Mid,-1.6349
8,TS,Mid,-1.8859
8,TS,Mid,-1.8516
8,TS,Mid,-1.6725
8,TS,Mid,-1.6583
8,TS,Mid,-2.0487
8,TS,Mid,-1.9454
8,TS,Mid,-1.6028
8,TS,Mid,-1.7837
8,TS,Mid,-1.9315
8,TS,Mid,-2.2
8,JS,Mid,-3.4475
8,JS,Mid,-1.7183
8,JS,Mid,-1.7193
8,JS,Mid,-1.9033
8,JS,Mid,-2.1202
8,JS,Mid,-1.626
8,JS,Mid,-1.5047
8,JS,Mid,-2.1608
8,JS,Mid,-2.0075
8,JS,Mid,-1.9256
9,AB,Mid,-1.7343
9,AB,Mid,-1.7378
9,AB,Mid,-1.6088
9,AB,Mid,-1.6942
9,AB,Mid,-1.743
9,AB,Mid,-1.5885
9,AB,Mid,-1.6725
9,AB,Mid,-1.8291
9,AB,Mid,-1.6058
9,AB,Mid,-1.6028
9,EP,Mid,-5.0062
9,EP,Mid,-2.4359
9,EP,Mid,-1.8942
9,EP,Mid,-3.739
9,EP,Mid,-1.8854
9,EP,Mid,-1.8488
9,EP,Mid,-2.465
9,EP,Mid,-1.8859
9,EP,Mid,-2.4378
9,EP,Mid,-7.689
9,TS,Mid,-1.9648
9,TS,Mid,-1.8719
9,TS,Mid,-2.4265
9,TS,Mid,-1.937
9,TS,Mid,-2.0204
9,TS,Mid,-1.7888
9,TS,Mid,-1.8374
9,TS,Mid,-1.949
9,TS,Mid,-1.6608
9,TS,Mid,-1.6881
9,JS,Mid,-1.8258
9,JS,Mid,-1.6881
9,JS,Mid,-1.8584
9,JS,Mid,-1.5699
9,JS,Mid,-1.702
9,JS,Mid,-1.7099
9,JS,Mid,-1.7162
9,JS,Mid,-1.9035
9,JS,Mid,-1.8292
9,JS,Mid,-2.0402
10,AB,Mid,-1.6462
10,AB,Mid,-1.9388
10,AB,Mid,-1.6715
10,AB,Mid,-2.3867
10,AB,Mid,-1.8814
10,AB,Mid,-1.9831
10,AB,Mid,-1.6748
10,AB,Mid,-1.7208
10,AB,Mid,-1.6904
10,AB,Mid,-1.7872
10,EP,Mid,-5.2228
10,EP,Mid,-4.3591
10,EP,Mid,-1.7903
