sub_num,case_nm,target,s_h
6,JS,Mid,-1.7747
6,JS,Mid,-1.4912
6,JS,Mid,-2.4307
6,JS,Mid,-1.6693
6,JS,Mid,-1.7808
6,JS,Mid,-1.6363
6,JS,Mid,-1.7499
6,JS,Mid,-1.6244
7,AB,Mid,-1.4631
7,AB,Mid,-1.7132
7,AB,Mid,-1.4474
7,AB,Mid,-1.4147
7,AB,Mid,-1.4901
7,AB,Mid,-1.4506
7,AB,Mid,-1.5274
7,AB,Mid,-1.396
7,AB,Mid,-1.6108
7,AB,Mid,-1.409
7,EP,Mid,-1.5515
7,EP,Mid,-1.5535
7,EP,Mid,-1.5688
7,EP,Mid,-1.5812
7,EP,Mid,-1.7137
7,EP,Mid,-1.5632
7,EP,Mid,-1.6136
7,EP,Mid,-1.5266
7,EP,Mid,-1.4063
7,EP,Mid,-1.4805
7,TS,Mid,-1.7363
7,TS,Mid,-1.9169
7,TS,Mid,-1.5731
7,TS,Mid,-1.9536
7,TS,Mid,-1.7379
7,TS,Mid,-2.4513
7,TS,Mid,-1.8931
7,TS,Mid,-1.6443
7,TS,Mid,-1.5761
7,TS,Mid,-2.1949
7,JS,Mid,-1.749
7,JS,Mid,-1.5724
7,JS,Mid,-1.6996
7,JS,Mid,-1.9113
7,JS,Mid,-1.6001
7,JS,Mid,-1.7947
7,JS,Mid,-1.8152
7,JS,Mid,-1.4582
7,JS,Mid,-1.982
7,JS,Mid,-1.6947
8,AB,Mid,-1.4528
8,AB,Mid,-2.5771
8,AB,Mid,-1.8742
8,AB,Mid,-1.759
8,AB,Mid,-1.858
8,AB,Mid,-1.7149
8,AB,Mid,-1.5598
8,AB,Mid,-1.5028
8,AB,Mid,-1.6627
8,AB,Mid,-1.4228
8,EP,Mid,-1.526
8,EP,Mid,-1.6284
8,EP,Mid,-1.5525
8,EP,Mid,-1.6513
8,EP,Mid,-1.5385
8,EP,Mid,-1.5236
8,EP,Mid,-1.602
8,EP,Mid,-1.9232
8,EP,Mid,-1.4242
8,EP,Mid,-1.7594
8,TS,Mid,-2.3325
8,TS,Mid,-2.1173
8,TS,Mid,-2.4119
8,TS,Mid,-1.5657
8,TS,Mid,-1.8862
8,TS,Mid,-2.2268
8,TS,Mid,-1.6032
8,TS,Mid,-1.5606
8,TS,Mid,-1.9242
8,TS,Mid,-2.3066
8,JS,Mid,-2.2136
8,JS,Mid,-1.6147
8,JS,Mid,-1.9151
8,JS,Mid,-2.124
8,JS,Mid,-1.5654
8,JS,Mid,-1.9151
8,JS,Mid,-1.8964
8,JS,Mid,-1.8476
8,JS,Mid,-1.6685
8,JS,Mid,-1.9055
9,AB,Mid,-1.3947
9,AB,Mid,-1.5034
9,AB,Mid,-1.5154
9,AB,Mid,-1.4795
9,AB,Mid,-1.4115
9,AB,Mid,-1.4812
9,AB,Mid,-1.3913
9,AB,Mid,-1.5637
9,AB,Mid,-1.6986
9,AB,Mid,-1.7223
9,EP,Mid,-4.3174
9,EP,Mid,-3.3032
9,EP,Mid,-2.4863
9,EP,Mid,-4.2039
9,EP,Mid,-2.3053
9,EP,Mid,-2.0561
9,EP,Mid,-3.0641
9,EP,Mid,-2.5496
9,EP,Mid,-2.5619
9,EP,Mid,-10.9978
9,TS,Mid,-1.8991
9,TS,Mid,-2.032
9,TS,Mid,-2.2263
9,TS,Mid,-1.6938
9,TS,Mid,-2.7694
9,TS,Mid,-1.78
9,TS,Mid,-1.7406
9,TS,Mid,-2.0381
9,TS,Mid,-2.1319
9,TS,Mid,-2.003
9,JS,Mid,-2.0396
9,JS,Mid,-2.2396
9,JS,Mid,-1.8916
9,JS,Mid,-2.1004
9,JS,Mid,-1.7497
9,JS,Mid,-2.0938
9,JS,Mid,-1.9677
9,JS,Mid,-2.4223
9,JS,Mid,-2.6199
9,JS,Mid,-2.6902
10,AB,Mid,-1.3999
10,AB,Mid,-1.4685
10,AB,Mid,-1.3991
10,AB,Mid,-1.5438
10,AB,Mid,-1.4745
10,AB,Mid,-1.4017
10,AB,Mid,-1.4098
10,AB,Mid,-1.3957
10,AB,Mid,-1.4016
10,AB,Mid,-1.49
10,EP,Mid,-4.1092
10,EP,Mid,-5.2524
10,EP,Mid,-1.9261
