sub_num,case_nm,target,iteration,hdiff
3,EP,Far,2,15.40368
3,EP,Far,3,22.59363
3,EP,Far,4,86.40124
3,EP,Far,5,54.62297
3,EP,Far,6,21.2848
3,EP,Far,7,76.61471
3,EP,Far,8,64.89241
3,EP,Far,9,49.99688
3,EP,Far,10,32.70571
3,EP,Far,12,43.45513
3,EP,Far,13,46.37354
3,EP,Far,14,77.78763
3,EP,Far,15,23.23164
3,EP,Far,16,70.64193
3,EP,Far,17,50.47807
3,EP,Far,19,66.91165
3,EP,Far,20,57.08851
3,EP,Far,21,141.2254
3,EP,Far,22,69.26985
3,EP,Far,23,54.88914
3,EP,Far,24,111.0034
3,EP,Far,25,60.60104
3,EP,Far,26,50.70953
3,EP,Far,27,160.3477
3,EP,Far,28,63.49695
3,EP,Far,29,51.12637
3,EP,Far,30,27.99936
3,EP,High,1,34.85434
3,EP,High,2,40.37015
3,EP,High,3,20.29471
3,EP,High,4,24.24494
3,EP,High,5,27.08447
3,EP,High,6,18.37564
3,EP,High,7,31.15405
3,EP,High,8,48.04358
3,EP,High,9,134.4599
3,EP,High,10,54.80173
3,EP,High,12,19.88551
3,EP,High,13,44.64649
3,EP,High,14,52.82649
3,EP,High,15,32.77781
3,EP,High,16,43.28243
3,EP,High,17,17.15892
3,EP,High,19,48.99681
3,EP,High,20,44.36864
3,EP,High,21,51.0534
3,EP,High,22,25.81462
3,EP,High,23,25.51891
3,EP,High,24,38.12258
3,EP,High,25,40.18864
3,EP,High,26,34.82648
3,EP,High,27,56.72925
3,EP,High,28,26.67181
3,EP,High,29,57.0855
3,EP,High,30,36.59225
3,TS,Close,1,9.64527
3,TS,Close,2,13.2115
3,TS,Close,3,41.0797
3,TS,Close,4,7.61535
3,TS,Close,5,18.3892
3,TS,Close,6,5.13823
3,TS,Close,7,26.179
3,TS,Close,8,11.7411
3,TS,Close,9,10.8977
3,TS,Close,10,24.4394
3,TS,Close,12,18.866
3,TS,Close,13,15.1951
3,TS,Close,14,14.5908
3,TS,Close,15,10.2558
3,TS,Close,16,12.1492
3,TS,Close,17,39.9331
3,TS,Close,19,19.208
3,TS,Close,20,10.5955
3,TS,Close,21,18.0907
3,TS,Close,22,14.3369
3,TS,Close,23,9.59709
3,TS,Close,24,11.4849
3,TS,Close,25,14.3921
3,TS,Close,26,15.3172
3,TS,Close,27,15.1809
3,TS,Close,28,14.3092
3,TS,Close,29,12.5642
3,TS,Close,30,19.9007
3,TS,Mid,1,16.3244
3,TS,Mid,2,23.93918
3,TS,Mid,3,29.32576
3,TS,Mid,4,81.56741
3,TS,Mid,5,27.55365
3,TS,Mid,6,132.7762
3,TS,Mid,7,40.98839
3,TS,Mid,8,34.0052
3,TS,Mid,9,76.47533
3,TS,Mid,10,147.8752
3,TS,Mid,12,48.76885
3,TS,Mid,13,14.3274
3,TS,Mid,14,10.10431
3,TS,Mid,15,41.63316
3,TS,Mid,16,19.97842
3,TS,Mid,17,15.1967
3,TS,Mid,19,38.43428
3,TS,Mid,20,29.79091
3,TS,Mid,21,30.58459
3,TS,Mid,22,14.66117
3,TS,Mid,23,44.25732
3,TS,Mid,24,27.25279
3,TS,Mid,25,37.21175
3,TS,Mid,26,12.94213
3,TS,Mid,27,44.89303
3,TS,Mid,28,36.06957
3,TS,Mid,29,17.75039
3,TS,Mid,30,14.99946
3,TS,Far,1,32.88403
3,TS,Far,2,51.12575
3,TS,Far,3,41.65314
3,TS,Far,4,32.79964
3,TS,Far,5,115.447
3,TS,Far,6,91.67366
3,TS,Far,7,87.5316
3,TS,Far,8,71.01639
3,TS,Far,9,67.73943
3,TS,Far,10,66.12337
3,TS,Far,12,34.60438
3,TS,Far,13,41.14065
3,TS,Far,14,54.09404
3,TS,Far,15,41.47055
3,TS,Far,16,22.51139
3,TS,Far,17,44.9571
3,TS,Far,19,49.93496
3,TS,Far,20,61.89915
3,TS,Far,21,102.8995
3,TS,Far,22,65.16639
3,TS,Far,23,45.34993
3,TS,Far,24,59.90983
3,TS,Far,25,88.23114
3,TS,Far,26,52.65706
3,TS,Far,27,36.44351
3,TS,Far,28,31.15655
3,TS,Far,29,35.43868
3,TS,Far,30,39.21594
3,TS,High,1,67.14814
3,TS,High,2,42.44701
